impl,n,build_time_s,avg_search_time_s
aa_tree,100000,0.066240,3.46804e-07
aa_tree,200000,0.170066,4.26316e-07
aa_tree,300000,0.261492,4.776e-07
aa_tree,400000,0.364641,5.29289e-07
aa_tree,500000,0.481883,5.80716e-07
aa_tree,600000,0.634638,6.40702e-07
aa_tree,700000,0.772944,6.20198e-07
aa_tree,800000,0.952271,6.66881e-07
aa_tree,900000,1.116605,7.39098e-07
aa_tree,1000000,1.244967,7.00617e-07
aa_tree,1100000,1.400496,8.02302e-07
aa_tree,1200000,1.566607,7.71117e-07
aa_tree,1300000,1.715136,7.68614e-07
aa_tree,1400000,1.872919,7.88093e-07
aa_tree,1500000,2.056620,7.54809e-07
aa_tree,1600000,2.224447,9.03392e-07
aa_tree,1700000,2.404705,7.94005e-07
aa_tree,1800000,2.586874,8.48889e-07
aa_tree,1900000,2.755545,8.19397e-07
aa_tree,2000000,2.945861,9.5489e-07
aa_tree,2100000,3.502491,8.7831e-07
aa_tree,2200000,3.556047,8.63314e-07
aa_tree,2300000,3.586777,8.92711e-07
aa_tree,2400000,3.892241,8.60906e-07
aa_tree,2500000,4.056171,8.60691e-07
aa_tree,2600000,4.180975,8.86106e-07
aa_tree,2700000,4.331330,8.91399e-07
aa_tree,2800000,4.540742,9.5098e-07
aa_tree,2900000,5.081601,9.15504e-07
aa_tree,3000000,5.008449,9.0301e-07
aa_tree,3100000,5.195877,9.66597e-07
aa_tree,3200000,5.305571,1.0937e-06
aa_tree,3300000,5.486111,9.26185e-07
aa_tree,3400000,5.676579,9.16409e-07
aa_tree,3500000,5.985523,1.00341e-06
aa_tree,3600000,6.455449,9.47523e-07
aa_tree,3700000,6.393229,1.00708e-06
aa_tree,3800000,6.549607,9.31311e-07
aa_tree,3900000,7.076041,1.03931e-06
aa_tree,4000000,7.121579,9.74298e-07
aa_tree,4100000,7.261828,9.59897e-07
aa_tree,4200000,7.567357,1.05109e-06
aa_tree,4300000,7.882323,9.85003e-07
aa_tree,4400000,8.025970,9.63092e-07
aa_tree,4500000,8.019565,9.81712e-07
aa_tree,4600000,8.410180,1.01199e-06
aa_tree,4700000,8.907103,1.05259e-06
aa_tree,4800000,8.990492,1.03431e-06
aa_tree,4900000,8.941754,9.88698e-07
aa_tree,5000000,9.325655,1.14019e-06
aa_tree,5100000,9.874660,1.04029e-06
aa_tree,5200000,10.122087,9.97996e-07
aa_tree,5300000,9.730736,1.05381e-06
aa_tree,5400000,9.990514,1.0227e-06
aa_tree,5500000,10.249388,1.02551e-06
aa_tree,5600000,10.570556,1.14691e-06
aa_tree,5700000,10.773946,1.0514e-06
aa_tree,5800000,10.923889,1.12669e-06
aa_tree,5900000,11.088789,1.0294e-06
aa_tree,6000000,11.389143,1.00799e-06
aa_tree,6100000,11.832925,1.0622e-06
aa_tree,6200000,12.230324,1.0807e-06
aa_tree,6300000,12.033788,1.05929e-06
aa_tree,6400000,12.308740,1.16389e-06
aa_tree,6500000,12.511483,1.05269e-06
aa_tree,6600000,12.671795,1.14701e-06
aa_tree,6700000,12.918824,1.1065e-06
aa_tree,6800000,13.176118,1.09279e-06
aa_tree,6900000,13.337789,1.2399e-06
aa_tree,7000000,13.995699,1.10681e-06
aa_tree,7100000,13.920135,1.08309e-06
aa_tree,7200000,14.166791,1.10891e-06
aa_tree,7300000,14.433287,1.0699e-06
aa_tree,7400000,14.639145,1.06242e-06
aa_tree,7500000,14.763398,1.18611e-06
aa_tree,7600000,15.102586,1.14839e-06
aa_tree,7700000,15.382542,1.1261e-06
aa_tree,7800000,15.518415,1.07739e-06
aa_tree,7900000,15.806661,1.11351e-06
aa_tree,8000000,16.007875,1.10872e-06
aa_tree,8100000,16.222822,1.1214e-06
aa_tree,8200000,16.529037,1.1107e-06
aa_tree,8300000,16.784931,1.12929e-06
aa_tree,8400000,17.036453,1.10681e-06
aa_tree,8500000,17.361145,1.1878e-06
aa_tree,8600000,17.550354,1.1637e-06
aa_tree,8700000,17.772408,1.15781e-06
aa_tree,8800000,18.044991,1.1344e-06
aa_tree,8900000,18.327055,1.13671e-06
aa_tree,9000000,18.502353,1.10121e-06
aa_tree,9100000,18.687166,1.173e-06
aa_tree,9200000,19.001978,1.20661e-06
aa_tree,9300000,19.324609,1.07222e-06
aa_tree,9400000,19.571450,1.2552e-06
aa_tree,9500000,19.683900,1.2183e-06
aa_tree,9600000,20.064115,1.15738e-06
aa_tree,9700000,20.272632,1.20869e-06
aa_tree,9800000,20.487302,1.13769e-06
aa_tree,9900000,20.814612,1.07758e-06
aa_tree,10000000,21.072358,1.21698e-06
bs_phf,100000,0.517809,5.60403e-07
bs_phf,200000,0.938953,4.98796e-07
bs_phf,300000,1.382377,5.89395e-07
bs_phf,400000,1.742671,6.17003e-07
bs_phf,500000,2.102128,8.22711e-07
